period,gdp_growth,inflation,policy_rate,lending_rate,deposit_rate,total_assets,total_loans,total_deposits,avg_car,avg_roa,stability_index,banking_stability,credit_stability,liquidity_stability
86,0.06770032947071164,0.056720691661015024,0.07393120222687835,0.12393120222687835,0.05393120222687835,5710.684816370332,5688.483773257666,2620.8176549503887,0.5020471323990484,0.03376712559617752,0.6114845703697579,0.82,0.9103060413174533,0.03464252658173962
87,0.057715761851504455,0.053212656675899785,0.0636768659396019,0.1136768659396019,0.04367686593960189,6049.9208682278595,6027.719825115193,2746.645842638555,0.5086240032829462,0.02851030251686645,0.576511740715182,0.82,0.7953169713711922,0.03305549767941418
88,0.05769908777676376,0.04027268095117782,0.04425856531514861,0.09425856531514862,0.024258565315148608,6409.2679376404385,6387.066894527772,2851.8109372242657,0.5159108668228967,0.01824735010960936,0.565562554431107,0.7937102516441404,0.7950916559703023,0.03183652327453412
89,0.07416626298787565,0.040811072608296875,0.053299740406383134,0.10329974040638314,0.03329974040638313,6915.114182477905,6892.91313936524,3011.4635283981074,0.513066429965579,0.023548317761170768,0.6275211508282879,0.82,0.9682551245388165,0.030148711555476264
90,0.08144433481972754,0.04176671783753465,0.05837224416616574,0.10837224416616574,0.038372244166165734,7520.681436713992,7498.480393601328,3205.2258798581447,0.5058422572248379,0.0267609331455946,0.6147552338471293,0.82,0.9275246181898957,0.0283261613005351
91,0.05646830123210469,0.041075477339099255,0.04484736662470122,0.09484736662470122,0.02484736662470122,7956.733847094062,7934.532803981396,3325.7370019375044,0.5137784114973806,0.019277756370577694,0.5652842771169864,0.8091663455586654,0.7780927260405075,0.02729973693789316
92,0.03369922856868434,0.04366429760803645,0.03734606069639684,0.08734606069639685,0.017346060696396843,8203.300426861637,8181.099383748968,3377.7262969567823,0.536832870228055,0.015058188615539229,0.37831035306931987,0.7458728292330884,0.23965785979987927,0.026879544787069224
93,0.04399612681850909,0.04692321315298301,0.04738288313872905,0.09738288313872906,0.02738288313872905,8557.707239401763,8535.506196289098,3475.3032128650357,0.5540015231698099,0.0210787377973097,0.5014922599875716,0.82,0.5521826918848551,0.026124841407050275
94,0.03740525199079072,0.045483093845823934,0.04192726676413126,0.09192726676413127,0.021927266764131263,8860.566849995019,8838.36580688235,3547.8947728623984,0.5738457236885386,0.017991726926566098,0.43521557122860843,0.7898759038984915,0.3719603837696608,0.0255903151277121
95,0.02998325611429866,0.05070894995465928,0.04605505298913824,0.09605505298913825,0.026055052989138242,9096.163108231922,9073.962065119258,3608.2591206716106,0.5990980616092882,0.020550318993029157,0.3577973620918341,0.82,0.07416233819114693,0.025162202114966763
96,0.03731102256475076,0.05315399223745876,0.053386499638563505,0.1033864996385635,0.03338649963856351,9417.111578605554,9394.910535492887,3704.029779148929,0.6208951005701969,0.025060366550789172,0.4460301118875414,0.82,0.3689220930783782,0.02451161321342628
97,0.05449314315040831,0.055417248636263926,0.06537244452960005,0.11537244452960005,0.04537244452960004,9941.378080810471,9919.177037697807,3875.4550064019913,0.6296579625903326,0.03245164989162544,0.5597906222695579,0.82,0.7492080306178335,0.023427376947359593
98,0.05972291139341492,0.059637919065936365,0.074318334295612,0.12431833429561201,0.054318334295612,10556.590102034583,10534.389058921917,4088.3628013318344,0.634647140871832,0.03802470994857235,0.5811183048848632,0.82,0.8215203227690986,0.022207360180445532
99,0.04909970941889182,0.056030816514212045,0.06359607948076397,0.11359607948076397,0.043596079480763966,11076.876987772283,11054.675944659619,4256.303780557248,0.6481832413839033,0.0316347276912119,0.5319486266071601,0.82,0.6584976309923822,0.02133112436481792
