period,gdp,consumption,investment,government_spending,savings,unemployment_rate,inflation_rate,total_loans,total_deposits,avg_lending_rate,tax_revenue,public_debt,total_profits,avg_productivity,avg_technology
35,1.3388154343553598e+233,84590394.1222972,1.3388154343553598e+233,14040000.0,216791368.1132815,0.0,0.0,722820020.5337679,2136945312.6578734,0.11000000000000001,8400000.0,203040000.0,,6.200894260439219,1.0
36,1.3388154343553598e+233,84674524.24944977,1.3388154343553598e+233,14040000.0,217886580.66672638,0.0,0.0,708363620.1230927,2136945312.6578734,0.11000000000000001,8400000.0,208680000.0,,6.5151666625388875,1.0
37,1.3388154343553598e+233,84752524.98955455,1.3388154343553598e+233,14040000.0,218903792.48006684,0.0,0.0,694196347.7206308,2136945312.6578734,0.11000000000000001,8400000.0,214320000.0,,6.838123131927633,1.0
38,1.3388154343553598e+233,84824851.1233253,1.3388154343553598e+233,14040000.0,219848678.15963703,0.0,0.0,680312420.7662182,2136945312.6578734,0.11000000000000001,8400000.0,219960000.0,,7.17316874308235,1.0
39,1.3388154343553598e+233,84891923.55347267,1.3388154343553598e+233,14040000.0,220726491.4090596,0.0,0.0,666706172.3508937,2136945312.6578734,0.11000000000000001,8400000.0,225600000.0,,7.514574506402008,1.0
40,1.3388154343553598e+233,84954131.88767359,1.3388154343553598e+233,14040000.0,221542096.32428193,0.0,0.0,653372048.903876,2136945312.6578734,0.11000000000000001,8400000.0,231240000.0,,7.882863319284856,1.0
41,1.3388154343553598e+233,85012188.3253525,1.3388154343553598e+233,14040000.0,222299644.80182555,0.0,0.0,640304607.9257984,2136945312.6578734,0.11000000000000001,8400000.0,236880000.0,,8.23523049424329,1.0
42,1.3388154343553598e+233,85065685.0762091,1.3388154343553598e+233,14040000.0,223003696.52851006,0.0,0.0,627498515.7672824,2136945312.6578734,0.11000000000000001,8400000.0,242520000.0,,8.663556751457929,1.0
43,1.3388154343553598e+233,85115326.8013382,1.3388154343553598e+233,14040000.0,223658106.5300681,0.0,0.0,614948545.4519367,2136945312.6578734,0.11000000000000001,8400000.0,248160000.0,,9.063380362169402,1.0
44,1.3388154343553598e+233,85161390.55004261,1.3388154343553598e+233,14040000.0,224266452.78292063,0.0,0.0,602649574.542898,2136945312.6578734,0.11000000000000001,8400000.0,253800000.0,,9.551193563148683,1.0
45,1.3388154343553598e+233,85204139.44325538,1.3388154343553598e+233,14040000.0,224832050.14256006,0.0,0.0,590596583.0520401,2136945312.6578734,0.11000000000000001,8400000.0,259440000.0,,10.018058181592558,1.0
46,1.3388154343553598e+233,85243816.8264231,1.3388154343553598e+233,14040000.0,225357970.119032,0.0,0.0,578784651.3909993,2136945312.6578734,0.11000000000000001,8400000.0,265080000.0,,10.562448816029278,1.0
47,1.3388154343553598e+233,85280647.78757922,1.3388154343553598e+233,14040000.0,225847059.13434798,0.0,0.0,567208958.3631793,2136945312.6578734,0.11000000000000001,8400000.0,270720000.0,,11.05555104011487,1.0
48,1.3388154343553598e+233,85314840.63291238,1.3388154343553598e+233,14040000.0,226301955.30433074,0.0,0.0,555864779.1959157,2136945312.6578734,0.11000000000000001,8400000.0,276360000.0,,11.582077553365561,1.0
49,1.3388154343553598e+233,85346588.15061931,1.3388154343553598e+233,14040000.0,226725103.9566067,0.0,0.0,544747483.6119975,2136945312.6578734,0.11000000000000001,8400000.0,282000000.0,,12.209980049333875,1.0
50,1.3388154343553598e+233,85376068.78598937,1.3388154343553598e+233,14040000.0,227118771.97351354,0.0,0.0,533852533.93975747,2136945312.6578734,0.11000000000000001,8400000.0,287640000.0,,12.857813534599238,1.0
51,1.3388154343553598e+233,85403531.81932013,1.3388154343553598e+233,14040000.0,227484976.95708892,0.0,0.0,523175483.26096237,2136945312.6578734,0.11000000000000001,8400000.0,293280000.0,,13.442063629880263,1.0
52,1.3388154343553598e+233,85428953.75640659,1.3388154343553598e+233,14040000.0,227825760.00357708,0.0,0.0,512711973.5957431,2136945312.6578734,0.11000000000000001,8400000.0,298920000.0,,14.063479556285706,1.0
53,1.3388154343553598e+233,85452572.45627242,1.3388154343553598e+233,14040000.0,228142924.35019952,0.0,0.0,502457734.1238283,2136945312.6578734,0.11000000000000001,8400000.0,304560000.0,,14.805720728308014,1.0
54,1.3388154343553598e+233,85474514.901187,1.3388154343553598e+233,14040000.0,228438146.2519079,0.0,0.0,492408579.4413517,2136945312.6578734,0.11000000000000001,8400000.0,310200000.0,,15.580155524855604,1.0
55,1.3388154343553598e+233,85494903.04345657,1.3388154343553598e+233,14040000.0,228712980.01134685,0.0,0.0,482560407.85252464,2136945312.6578734,0.11000000000000001,8400000.0,315840000.0,,16.342960953076386,1.0
56,1.3388154343553598e+233,85513849.27277277,1.3388154343553598e+233,14040000.0,228968867.54146865,0.0,0.0,472909199.69547415,2136945312.6578734,0.11000000000000001,8400000.0,321480000.0,,17.116800429074164,1.0
57,1.3388154343553598e+233,85531457.75169814,1.3388154343553598e+233,14040000.0,229207146.5926654,0.0,0.0,463451015.70156467,2136945312.6578734,0.11000000000000001,8400000.0,327120000.0,,18.02846041421626,1.0
58,1.3388154343553598e+233,85547824.96964702,1.3388154343553598e+233,14040000.0,229429058.4259141,0.0,0.0,454181995.38753337,2136945312.6578734,0.11000000000000001,8400000.0,332760000.0,,18.841960310692198,1.0
59,1.3388154343553598e+233,85563040.32326959,1.3388154343553598e+233,14040000.0,229635754.90553954,0.0,0.0,445098355.4797827,2136945312.6578734,0.11000000000000001,8400000.0,338400000.0,,19.783324990551606,1.0
60,1.3388154343553598e+233,85577186.64625302,1.3388154343553598e+233,14040000.0,229828305.06218258,0.0,0.0,436196388.37018704,2136945312.6578734,0.11000000000000001,8400000.0,344040000.0,,20.688911813869375,1.0
61,1.3388154343553598e+233,85590265.41831087,1.3388154343553598e+233,14040000.0,230007776.44676635,0.0,0.0,427472460.6027833,2136945312.6578734,0.11000000000000001,8400000.0,349680000.0,,21.687300340764605,1.0
62,1.3388154343553598e+233,85602506.45488894,1.3388154343553598e+233,14040000.0,230175006.79477328,0.0,0.0,418923011.39072764,2136945312.6578734,0.11000000000000001,8400000.0,355320000.0,,22.786239474886763,1.0
63,1.3388154343553598e+233,85613895.32625492,1.3388154343553598e+233,14040000.0,230330848.27141348,0.0,0.0,410544551.1629131,2136945312.6578734,0.11000000000000001,8400000.0,360960000.0,,23.821010296916114,1.0
64,1.3388154343553598e+233,85624488.22972646,1.3388154343553598e+233,14040000.0,230476096.84458235,0.0,0.0,402333660.1396548,2136945312.6578734,0.11000000000000001,8400000.0,366600000.0,,24.93250276848672,1.0
65,1.3388154343553598e+233,85634342.76903182,1.3388154343553598e+233,14040000.0,230611490.87844548,0.0,0.0,394286986.93686175,2136945312.6578734,0.11000000000000001,8400000.0,372240000.0,,26.161600423467775,1.0
66,1.3388154343553598e+233,85643511.46614094,1.3388154343553598e+233,14040000.0,230737716.2151999,0.0,0.0,386401247.19812447,2136945312.6578734,0.11000000000000001,8400000.0,377880000.0,,27.47002946779142,1.0
67,1.3388154343553598e+233,85652043.01900369,1.3388154343553598e+233,14040000.0,230855409.99909157,0.0,0.0,378673222.254162,2136945312.6578734,0.11000000000000001,8400000.0,383520000.0,,28.920328740662594,1.0
