period,total_consumption,total_saving,average_consumption,consumption_inequality,saving_rate,inflation,growth,unemployment
34,102214922.54580513,-16129659.140675496,102214.92254580512,1.0149041380083554,-0.18736841246296715,0.00920225125643622,0.2130403594221543,0.07092860093408142
35,103675147.48125929,-16363532.973701186,103675.1474812593,1.0132209826725371,-0.18741530626815617,0.010749082112595187,0.2303210567590106,0.06484918270779598
36,103358214.08426659,-16291729.670811225,103358.21408426658,1.0144618287767206,-0.18711826692629707,0.0008302772175758939,0.2268668918335206,0.06386872152411922
37,103060789.3238095,-16179394.864603622,103060.7893238095,1.013447962253681,-0.18622393166353315,0.005650722714172078,0.2242587615247173,0.07013779534755225
38,103712424.4062577,-16438139.77596342,103712.4244062577,1.015931735333459,-0.18835032387372305,0.009681028284241135,0.22979503585900854,0.07243513858196877
39,103078551.93990405,-16247086.50585154,103078.55193990405,1.0134650585972866,-0.18711058744241757,0.001859289046866967,0.22355520414193292,0.06984212987434771
40,98600415.82910202,-15599574.790357355,98600.41582910203,1.0158899450117636,-0.18794477977729762,0.0,0.1695773011943929,0.06767076451516305
41,95482396.19348666,-15089554.488228513,95482.39619348667,1.0116536026578553,-0.18769773736262352,0.0,0.1328275913866082,0.0866730395615091
42,96215384.64627174,-15182848.31015341,96215.38464627173,1.0142490257603938,-0.1873673094369874,0.0,0.14184162438418652,0.09058663494832817
43,95179274.25770092,-15043701.77619175,95179.27425770092,1.0123283110789723,-0.1877281375841297,0.002943639872966846,0.12920237216440458,0.09101622207204914
44,94044011.78953737,-14878137.009746544,94044.01178953737,1.0140756311052146,-0.18793624211355997,0.0,0.11553821639493805,0.09084352079624494
45,94660251.01651347,-14945635.708031062,94660.25101651347,1.0155303728969631,-0.1874892784741408,0.005555419882841087,0.12327060149575285,0.09327325973410738
46,95390697.78663944,-15027949.180472761,95390.69778663943,1.0103058521807347,-0.18700143338949443,0.00471293477320816,0.13240354501334836,0.09325103428820247
47,97239254.51212057,-15324867.444505148,97239.25451212058,1.0090368575449895,-0.1870839542735684,0.009286696582244562,0.15426791531922918,0.08898787430583012
48,97706329.77824646,-15425809.472775416,97706.32977824647,1.0169030084806123,-0.1874782684346943,0.0,0.15942715369379984,0.08425721880543852
49,95777176.84475853,-15042565.01005115,95777.17684475852,1.0118968185302126,-0.1863211411835194,0.0020285913274299817,0.13764352554616066,0.08864311116975966
